28  108
#Z  K  L1  L2  L3  M1  M2  M3  M4  M5  N1  N2  N3  N4  N5  N6  N7  O1  O2  O3  O4  O5  O6  O7  P1  P2  P3  P4  Q1
54  2  2  2  4  2  2  4  4  6  2  2  4  4  6  0  0  2  2  4  0  0  0  0  0  0  0  0  0
55  2  2  2  4  2  2  4  4  6  2  2  4  4  6  0  0  2  2  4  0  0  0  0  1  0  0  0  0
56  2  2  2  4  2  2  4  4  6  2  2  4  4  6  0  0  2  2  4  0  0  0  0  2  0  0  0  0
57  2  2  2  4  2  2  4  4  6  2  2  4  4  6  0  0  2  2  4  1  0  0  0  2  0  0  0  0
58  2  2  2  4  2  2  4  4  6  2  2  4  4  6  1  0  2  2  4  1  0  0  0  2  0  0  0  0
59  2  2  2  4  2  2  4  4  6  2  2  4  4  6  3  0  2  2  4  0  0  0  0  2  0  0  0  0
60  2  2  2  4  2  2  4  4  6  2  2  4  4  6  4  0  2  2  4  0  0  0  0  2  0  0  0  0
61  2  2  2  4  2  2  4  4  6  2  2  4  4  6  5  0  2  2  4  0  0  0  0  2  0  0  0  0
62  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  0  2  2  4  0  0  0  0  2  0  0  0  0
63  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  1  2  2  4  0  0  0  0  2  0  0  0  0
64  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  1  2  2  4  1  0  0  0  2  0  0  0  0
65  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  3  2  2  4  0  0  0  0  2  0  0  0  0
66  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  4  2  2  4  0  0  0  0  2  0  0  0  0
67  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  5  2  2  4  0  0  0  0  2  0  0  0  0
68  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  6  2  2  4  0  0  0  0  2  0  0  0  0
69  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  7  2  2  4  0  0  0  0  2  0  0  0  0
70  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  0  0  0  0  2  0  0  0  0
71  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  1  0  0  0  2  0  0  0  0
72  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  2  0  0  0  2  0  0  0  0
73  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  3  0  0  0  2  0  0  0  0
74  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  0  0  0  2  0  0  0  0
75  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  1  0  0  2  0  0  0  0
76  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  2  0  0  2  0  0  0  0
77  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  3  0  0  2  0  0  0  0
78  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  5  0  0  1  0  0  0  0
79  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  0  0  1  0  0  0  0
80  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  0  0  2  0  0  0  0
81  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  0  0  2  1  0  0  0
82  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  0  0  2  2  0  0  0
83  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  0  0  2  2  1  0  0
84  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  0  0  2  2  2  0  0
85  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  0  0  2  2  3  0  0
86  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  0  0  2  2  4  0  0
87  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  0  0  2  2  4  0  1
88  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  0  0  2  2  4  0  2
89  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  0  0  2  2  4  1  2
90  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  0  0  2  2  4  2  2
91  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  2  0  2  2  4  1  2
92  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  3  0  2  2  4  1  2
93  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  4  0  2  2  4  1  2
94  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  6  0  2  2  4  0  2
95  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  6  1  2  2  4  0  2
96  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  6  1  2  2  4  1  2
97  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  6  3  2  2  4  0  2
98  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  6  4  2  2  4  0  2
99  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  6  5  2  2  4  0  2
100  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  6  6  2  2  4  0  2
101  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  6  7  2  2  4  0  2
102  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  6  8  2  2  4  0  2
103  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  6  8  2  2  4  1  2
104  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  6  8  2  2  4  2  2
105  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  6  8  2  2  4  3  2
106  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  6  8  2  2  4  4  2
107  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  6  8  2  2  4  5  2
108  2  2  2  4  2  2  4  4  6  2  2  4  4  6  6  8  2  2  4  4  6  6  8  2  2  4  6  2
