#first line: Z and A for the parent nucleus
# second line :(average neutron emission number)  (following lines X for this parent nucleus)  (average Q value for this fission in MeV)
#from third line:
#X lines  and each of which : daughter nucleus A and Z, Probability before neutron emission(you probably don't need), final Probability for this daughter nucleus to occur.
         98     254
                          4.487780000000001	532	217.32506
119   45       0.135000           0.003000
119   46       1.768999           0.183000
119   47       1.307999           0.936000
119   48       0.046000           0.572000
119   49       0.000000           0.050000
120   45       0.025000           0.002000
120   46       0.845999           0.050000
120   47       1.670999           0.467000
120   48       0.179000           0.665000
120   49       0.000000           0.084000
120   50       0.000000           0.003000
121   45       0.002000           0.000000
121   46       0.211000           0.007000
121   47       1.342999           0.210000
121   48       0.488000           0.431000
121   49       0.006000           0.143000
121   50       0.000000           0.006000
122   46       0.036000           0.004000
122   47       0.719000           0.044000
122   48       0.762999           0.261000
122   49       0.047000           0.157000
122   50       0.000000           0.026000
123   46       0.005000           0.000000
123   47       0.251000           0.016000
123   48       0.666000           0.098000
123   49       0.104000           0.112000
123   50       0.001000           0.020000
124   46       0.001000           0.000000
124   47       0.060000           0.000000
124   48       0.443000           0.027000
124   49       0.170000           0.065000
124   50       0.004000           0.016000
124   51       0.000000           0.001000
125   47       0.017000           0.000000
125   48       0.182000           0.014000
125   49       0.157000           0.023000
125   50       0.016000           0.013000
126   47       0.000000           0.001000
126   48       0.036000           0.027000
126   49       0.132000           0.051000
126   50       0.031000           0.016000
126   51       0.000000           0.001000
127   47       0.001000           0.000000
127   48       0.035000           0.024000
127   49       0.076000           0.149000
127   50       0.035000           0.070000
127   51       0.001000           0.003000
128   48       0.031000           0.020000
128   49       0.132000           0.166000
128   50       0.036000           0.284000
128   51       0.000000           0.023000
129   48       0.016000           0.003000
129   49       0.157000           0.134000
129   50       0.182000           0.483000
129   51       0.017000           0.127000
129   52       0.000000           0.003000
130   48       0.004000           0.000000
130   49       0.170000           0.103000
130   50       0.443000           0.731000
130   51       0.060000           0.362000
130   52       0.001000           0.027000
131   48       0.001000           0.000000
131   49       0.104000           0.042000
131   50       0.666000           0.682000
131   51       0.251000           1.007000
131   52       0.005000           0.142000
131   53       0.000000           0.002000
132   49       0.047000           0.006000
132   50       0.762999           0.430000
132   51       0.719000           1.628999
132   52       0.036000           0.697000
132   53       0.000000           0.019000
133   49       0.006000           0.000000
133   50       0.488000           0.089000
