# Data source: Evaluated Nuclear Data File library (ENDF/B-VII.1; Chadwick et al. 2011)
# Nuclide selection originally from Hotokezaka et al. https://github.com/hotokezaka/HeatingRate
#
# Q, E_gamma, E_elec and meanlife are taken from the ENDF/B-VII.1 decay sublibrary, MF=8/MT=457.
# Q is the branching-ratio-weighted sum of the mode Q values, so it covers every decay branch of
# the nuclide including the beta-delayed neutron ones. E_gamma and E_elec are the tabulated
# average decay energies EEM (all electromagnetic radiation: gamma rays and X-rays) and ELP (all
# light particles: continuum betas plus conversion and Auger electrons), both averaged over one
# decay of the parent summed over its branches. They are not the averages of the tabulated
# spectra, which omit the X-ray and discrete-electron components and are absent altogether for
# the nuclides that ENDF evaluates from systematics.
# E_neutrino is the balance Q - EEM - ELP - EHP and is not read by ARTIS.
# One deviation from ENDF: Ta-188 uses the ENSDF half-life of 19.6(20) s rather than the 20 s
# ENDF rounds it to. ENDF assigns its parent Hf-188, which has no adopted ENSDF half-life, the
# same estimated 20 s, and two nuclides of one decay chain sharing a decay constant makes the
# Bateman solution singular.
# For a nuclide that alphadecays.txt gives a beta-minus branching ratio below one, E_elec is
# instead the average of the beta continuum alone, because the reader divides this column by that
# branching ratio and the discrete electrons of ELP are summed over all branches.
#
# A, Z, Q[MeV], E_gamma[MeV], E_elec[MeV], E_neutrino[MeV], meanlife[s]
73 31 1.53235 0.340979 0.450738 0.740633 25241.4
74 28 7.24542 2.48457 2.14107 2.61531 0.981033
74 29 9.74433 2.08755 3.55203 4.10448 2.52472
74 30 2.29287 0.828397 0.563187 0.901286 137.922
74 31 5.373 3.0328 0.990784 1.34942 702.881
75 28 9.6079 4.24626 2.40144 2.89208 0.865617
75 29 7.91724 2.00283 2.69696 3.1997 1.76586
75 30 5.906 1.82069 1.9022 2.1831 14.7155
75 31 3.38687 0.331104 1.35927 1.6965 181.78
75 32 1.1759 0.0352421 0.420317 0.720341 7165.58
76 28 8.26048 2.25505 2.67184 3.16734 0.343361
76 29 11.0916 1.6664 4.39758 5.01556 0.94208
76 30 3.9936 0.523139 1.50914 1.96132 8.22336
76 31 6.9162 2.80048 1.8723 2.24341 47.0319
77 29 9.69367 2.42945 3.30402 3.82786 0.676624
77 30 7.203 1.93966 2.44883 2.81451 3.00081
77 31 5.22153 0.789338 1.97474 2.45745 19.0436
77 32 2.7025 1.07866 0.650139 0.973703 58688.8
77 33 0.682461 0.00808 0.225643 0.448738 201671
78 28 8.9373 2.10177 2.99187 3.499 0.158696
78 29 10.4776 3.47904 3.10135 3.61455 0.483303
78 30 6.223 1.52916 2.20915 2.4847 2.12076
78 31 8.156 2.53854 2.58302 3.03444 7.34332
78 32 0.955 0.278077 0.228133 0.44879 7617.43
78 33 4.209 1.30659 1.258 1.64441 7851.15
79 29 9.32245 1.61434 3.28749 3.80845 0.271227
79 30 9.02551 4.55337 1.99442 2.4738 1.43548
79 31 6.96566 2.08125 2.40591 2.47824 4.10735
79 32 4.148 0.308654 1.71396 2.12538 27.3824
79 33 2.18766 0.0337799 0.839239 1.31464 779.921
79 34 0.151 0 0.0558 0.0952 1.34308e+13
80 29 11.328 3.00616 3.52904 4.05483 0.245258
80 30 7.52758 3.47933 1.78943 2.25452 0.779055
80 31 10.2422 2.57536 3.60475 4.05934 2.41796
80 32 2.636 0.146578 1.04644 1.44298 42.5595
80 33 5.601 0.581926 2.14805 2.87102 21.929
81 30 10.9426 3.71281 3.3241 3.85009 0.461662
81 31 7.80779 2.21783 2.36277 3.18307 1.75576
81 32 6.242 2.63984 1.6172 1.98496 10.9645
81 33 3.85231 0.230272 1.57507 2.04697 48.0417
81 34 1.5853 0.00814327 0.610755 0.966401 1597.06
82 31 11.6976 4.8033 3.13951 3.67267 0.864174
82 32 4.68802 2.78458 0.765355 1.13809 6.57869
82 33 7.491 0.308172 3.30484 3.87799 27.5555
83 31 9.01925 1.33764 3.27117 3.80263 0.444494
83 32 8.68424 2.17539 2.99167 3.51694 2.66899
83 33 5.67134 2.31181 1.44966 1.90987 19.3321
83 34 3.666 2.53789 0.468272 0.65984 1930.33
83 35 0.942455 0.00687445 0.330236 0.605344 12464.9
84 32 7.27107 1.43239 2.63283 3.14858 1.37633
84 33 10.0785 3.14603 3.20447 3.72749 6.05932
84 34 1.863 0.4082 0.540369 0.914431 282.191
84 35 4.629 1.75734 1.22938 1.64227 2749.2
85 32 9.98946 1.33327 4.0417 4.60268 0.771842
85 33 6.52936 1.04893 2.27817 2.78519 2.91569
85 34 6.162 2.05505 1.86794 2.23901 45.7334
85 35 2.57162 0.0613134 1.04441 1.4659 251.029
85 36 0.6871 0.002231 0.250603 0.434266 4.89699e+08
86 33 10.7717 3.92657 3.12404 3.66549 1.36335
86 34 5.136 2.27255 1.32834 1.53511 20.6305
86 35 7.626 3.29717 1.9437 2.38514 79.3482
87 32 11.1832 2.47032 4.05187 4.61778 0.201977
87 33 9.22361 2.3796 3.0742 3.61482 0.807909
87 34 7.45289 0.661926 3.10683 3.68382 7.93482
87 35 6.67445 3.34471 1.65654 1.66778 80.286
87 36 3.887 0.791927 1.33109 1.76398 6604.66
87 37 0.2833 0 0.0817 0.2016 2.1899e+18
88 33 10.723 2.50423 3.7194 4.2774 0.161582
88 34 6.79896 0.847181 2.70925 3.24091 2.20732
88 35 8.51124 3.13376 2.39294 2.96821 23.5015
88 36 2.917 1.95407 0.368832 0.594098 14750.1
88 37 5.3127 0.677339 2.05122 2.58414 1538.46
89 34 8.84276 0.999975 3.61603 4.18036 0.591505
89 35 7.58314 1.62909 2.56173 3.32141 6.34786
89 36 5.177 1.9311 1.46774 1.77816 272.669
89 37 4.496 2.23606 0.969402 1.29053 1311.41
89 38 1.49681 0 0.585342 0.911468 6.29851e+06
90 34 8.04164 0.82707 3.32494 3.8831 0.232274
90 35 9.32227 1.49008 3.1845 4.4851 2.76997
90 36 4.3921 1.31972 1.36839 1.70399 46.6279
90 37 6.587 2.27219 1.90476 2.41005 227.946
90 38 0.546 0 0.1958 0.3502 1.31075e+09
90 39 2.2798 8.85767e-07 0.933015 1.34678 332397
91 34 10.7042 1.56989 4.27117 4.85546 0.389528
91 35 9.04947 0.399833 3.96107 4.54704 0.780498
91 36 6.773 1.74556 2.25509 2.77235 12.3639
91 37 5.90636 2.70753 1.37028 1.82855 84.2534
91 38 2.36612 0.707162 0.641371 1.01759 50015.4
91 39 1.5444 0.00313241 0.603041 0.938227 7.2932e+06
92 35 11.741 2.64812 4.17565 4.76549 0.494844
92 36 6.00159 1.41713 2.00489 2.57949 2.65456
