# Data source: Evaluated Nuclear Data File library (ENDF/B-VII.1; Chadwick et al. 2011)
# Nuclide selection originally from Hotokezaka et al. https://github.com/hotokezaka/HeatingRate
#
# Q, E_gamma, E_elec and meanlife are taken from the ENDF/B-VII.1 decay sublibrary, MF=8/MT=457.
# Q is the branching-ratio-weighted sum of the mode Q values, so it covers every decay branch of
# the nuclide including the beta-delayed neutron ones. E_gamma and E_elec are the tabulated
# average decay energies EEM (all electromagnetic radiation: gamma rays and X-rays) and ELP (all
# light particles: continuum betas plus conversion and Auger electrons), both averaged over one
# decay of the parent summed over its branches. They are not the averages of the tabulated
# spectra, which omit the X-ray and discrete-electron components and are absent altogether for
# the nuclides that ENDF evaluates from systematics.
# E_neutrino is the balance Q - EEM - ELP - EHP and is not read by ARTIS.
# One deviation from ENDF: Ta-188 uses the ENSDF half-life of 19.6(20) s rather than the 20 s
# ENDF rounds it to. ENDF assigns its parent Hf-188, which has no adopted ENSDF half-life, the
# same estimated 20 s, and two nuclides of one decay chain sharing a decay constant makes the
# Bateman solution singular.
# For a nuclide that alphadecays.txt gives a beta-minus branching ratio below one, E_elec is
# instead the average of the beta continuum alone, because the reader divides this column by that
# branching ratio and the discrete electrons of ELP are summed over all branches.
#
# A, Z, Q[MeV], E_gamma[MeV], E_elec[MeV], E_neutrino[MeV], meanlife[s]
122 45 11.7982 3.46527 3.8232 4.47324 0.155811
122 46 6.41073 1.51533 2.16252 2.73277 0.252472
122 47 9.49627 1.12338 3.81829 4.55421 0.763186
122 48 2.96 0 1.229 1.731 7.55972
122 49 6.37 0.631081 2.53207 3.20685 2.16404
123 46 8.87724 3.71999 2.29202 2.86292 0.352018
123 47 7.74276 1.859 2.64 3.24193 0.432809
123 48 5.88414 1.88345 1.77755 2.22313 3.02966
123 49 4.3672 1.05731 1.3593 1.95059 8.90143
123 50 1.4036 0.0068921 0.523168 0.87354 1.61046e+07
124 47 10.4005 3.8823 2.94496 3.56796 0.248144
124 48 4.17129 2.06334 0.835034 1.27291 1.80337
124 49 7.36 2.65122 2.05156 2.65722 4.50121
125 46 9.10632 4.23811 1.9651 2.88272 0.575203
125 47 8.76689 2.08092 3.02113 3.64493 0.239487
125 48 6.92502 1.72812 2.31899 2.87791 0.981033
125 49 5.39564 1.20249 1.8481 2.34505 3.40476
125 50 2.357 0.333552 0.80211 1.22134 1.20161e+06
125 51 0.733269 0.433385 0.100132 0.199751 1.25592e+08
126 46 7.60211 2.83588 2.0243 2.73553 0.360529
126 47 11.1724 4.39451 3.0602 3.69232 0.154368
126 48 5.55731 2.56752 1.24899 1.7408 0.742988
126 49 8.207 2.76389 2.4001 3.043 2.20732
126 50 0.347092 0.0564756 0.107379 0.183237 1.04714e+13
126 51 3.67 2.7551 0.365351 0.549548 1.53941e+06
127 47 9.45199 2.29483 3.23231 3.86888 0.157254
127 48 8.4527 5.13881 1.40245 1.91124 0.533797
127 49 6.57381 1.62304 2.12628 2.82449 1.57254
127 50 3.231 1.86689 0.577093 0.78702 10906.8
127 51 1.56745 0.692068 0.313355 0.562027 479898
127 52 0.702 0.00487903 0.224583 0.472538 48561.1
128 48 7.0558 2.98404 1.76176 2.3083 0.403955
128 49 8.97258 3.06861 2.64505 3.25887 1.21186
128 50 1.275 0.603788 0.252492 0.418719 5113.2
128 51 4.384 3.04842 0.482464 0.85312 46795.3
128 52 0.86795 0 0.433975 0.433975 4.00647e+26
128 53 2.05918 0.0676076 0.745999 1.24557 2163.18
129 48 9.48341 5.23486 1.84632 2.40053 0.389528
129 49 7.76294 2.16552 2.56344 3.03263 0.880044
129 50 4.04 1.00794 1.31417 1.71789 193.033
129 51 2.35886 1.42494 0.346234 0.587686 22852.3
129 52 1.503 0.062384 0.546274 0.894342 6024.69
129 53 0.194 0.024187 0.0501507 0.119662 7.14789e+14
130 48 8.1699 2.64234 2.45645 3.05534 0.233717
130 49 9.62215 3.42705 2.95066 3.23946 0.418382
130 50 2.1482 0.937122 0.462309 0.748768 322.01
130 51 5.062 3.27232 0.729489 1.06019 3419.19
131 49 9.11788 2.82124 2.82376 3.45436 0.403955
131 50 4.70431 2.8895 0.704257 1.11055 80.7909
131 51 3.22264 1.73885 0.625325 0.858467 1993.52
131 52 2.2328 0.419599 0.711232 1.10197 2164.04
131 53 0.969022 0.381747 0.191691 0.395585 1.00033e+06
132 49 13.7562 6.21269 3.47015 4.0095 0.298638
132 50 3.119 1.29237 0.726801 1.09983 57.275
132 51 5.512 2.49583 1.20582 1.81035 241.507
132 52 0.518 0.233811 0.109784 0.174405 399375
132 53 3.581 2.26266 0.493648 0.824688 11919.5
133 49 10.715 0.234661 3.39392 4.05515 0.238045
133 50 8.09345 0.298414 3.51234 4.28268 2.10633
133 51 3.94421 2.18359 0.680146 1.08047 216.404
133 52 2.942 1.19102 0.693467 1.05751 1082.02
133 53 1.75036 0.611513 0.407373 0.731474 108029
133 54 0.4274 0.0468437 0.136216 0.24434 653534
134 49 9.65931 0.740624 2.98789 3.63031 0.201977
134 50 7.28225 0.105242 3.15593 3.92325 1.51483
134 51 8.16728 0.111162 3.75471 4.2975 1.1253
134 52 1.513 0.870951 0.223646 0.418403 3618.28
134 53 4.052 2.60353 0.582344 0.866121 4544.49
135 50 5.43243 1.33963 1.15964 1.65284 0.764628
135 51 7.36492 0.577099 2.74996 3.84266 2.42228
135 52 5.888 0.384391 2.40825 3.09536 27.4112
135 53 2.54007 1.57805 0.338778 0.623243 34122.6
135 54 1.165 0.248204 0.319776 0.59702 47470.4
135 55 0.2687 0 0.0757 0.193 1.04714e+14
136 50 5.41403 0.485991 1.87593 2.43619 0.360674
136 51 7.7036 2.70261 1.9847 2.55385 1.33161
136 52 5.04259 2.04188 1.31287 1.68403 25.2472
136 53 6.857 2.35588 1.95191 2.54921 120.321
137 50 6.04991 0.845942 1.78752 2.34581 0.274112
137 51 6.00844 0.851323 1.91472 2.48794 0.649213
137 52 7.06704 5.40794 0.622872 1.02506 3.59231
137 53 5.58911 1.13462 1.91991 2.48997 35.346
137 54 4.1623 0.189537 1.69952 2.27325 330.493
137 55 0.549043 1.6443e-06 0.179446 0.369595 1.36948e+09
138 51 9.97002 3.13241 2.99968 3.65441 0.242373
138 52 5.93142 2.49566 1.42951 1.9646 2.01977
138 53 7.75514 1.41984 3.06763 3.2467 8.98799
138 54 2.912 1.1259 0.700564 1.08554 1218.79
138 55 5.374 2.36106 1.24413 1.76881 2892.03
139 51 7.35476 0.522755 2.58447 3.21715 0.183222
139 52 8.04234 2.43991 2.48354 3.1091 0.500615
139 53 6.74327 2.91138 1.61565 2.1753 3.28934
139 54 5.056 1.0266 1.80839 2.22101 57.2461
139 55 4.213 0.303011 1.66448 2.24551 802.427
139 56 2.3168 0.0456714 0.900772 1.37036 7189.82
140 52 6.9249 1.57744 2.35946 2.97658 0.438579
140 53 8.86206 3.62098 2.29058 2.90974 1.24072
140 54 4.064 1.12061 1.11063 1.83276 19.6207
140 55 6.22 1.86441 1.89327 2.46231 91.8997
140 56 1.05 0.182249 0.318162 0.549589 1.58961e+06
140 57 3.7622 2.30834 0.535476 0.918384 209229
141 52 9.14662 3.23408 2.62417 3.26182 0.307294
141 53 7.20029 2.74991 1.90252 2.48934 0.620359
141 54 6.28063 1.01271 2.08862 3.17925 2.49586
141 55 5.2512 1.70786 1.49048 2.05278 35.8365
141 56 3.213 0.92536 0.937929 1.34971 1581.48
141 57 2.446 0.0267859 0.962518 1.4567 20359.3
141 58 0.5808 0.0765645 0.170266 0.333969 4.05208e+06
142 52 7.75087 1.37329 2.83691 3.49359 0.288539
142 53 7.52837 2.45702 2.10169 2.70492 0.320278
142 54 5.28709 1.06479 1.81773 2.40409 1.77451
142 55 7.31407 0.952372 2.91848 3.44298 2.4295
142 56 2.211 1.0459 0.396556 0.76854 917.554
142 57 4.504 2.11742 0.95436 1.43222 7885.77
143 53 6.32324 0.488948 2.32681 2.9534 0.427038
143 54 7.44465 2.83784 2.00229 2.60266 0.432809
143 55 6.19394 0.411762 2.4068 3.37117 2.58387
143 56 4.25 1.34259 1.18238 1.72503 20.9191
143 57 3.29 0.423769 1.22478 1.64145 1229.18
143 58 1.4615 0.278546 0.430798 0.752156 171595
143 59 0.934 8.90678e-09 0.31512 0.61888 1.69148e+06
144 53 9.35155 2.01387 3.21749 3.90188 0.279883
144 54 6.37165 1.26852 2.23864 2.86046 1.6591
144 55 8.31701 4.77191 1.49024 2.04539 1.43404
144 56 3.06641 0.78505 0.90227 1.37909 16.591
144 57 5.54 3.15831 1.02057 1.36112 58.862
144 58 0.318136 0.0192491 0.091339 0.207548 3.55137e+07
144 59 2.9975 0.0288597 1.20853 1.76011 1495.79
145 53 8.89688 0.606159 3.37861 4.57039 0.183222
145 54 8.41888 2.9027 2.4296 3.06955 0.271227
145 55 6.8988 0.5667 2.61757 3.66507 0.846862
145 56 4.923 1.83098 1.45839 1.63363 6.21802
145 57 4.26057 2.14388 0.82694 1.28975 35.7788
145 58 2.54 0.884505 0.618152 1.03734 260.551
145 59 1.805 0.0185763 0.675493 1.11093 31079.1
146 54 7.52902 1.38459 2.73286 3.39929 0.532354
146 55 8.59111 4.16675 1.8842 2.47956 0.463105
146 56 4.10839 0.804582 1.37917 1.92463 3.20278
146 57 6.53 1.24391 2.34528 2.94081 9.0457
146 58 1.04 0.3528 0.219934 0.467266 1170.31
146 59 4.22 1.05502 1.30487 1.86012 2090.47
147 55 7.27865 2.60316 1.96173 2.56304 0.33182
147 56 6.41094 0.405242 2.63739 3.36828 1.28977
147 57 5.33363 0.280285 2.19666 2.85665 5.85734
147 58 3.426 1.4967 0.74883 1.18046 81.368
147 59 2.702 0.92915 0.673341 1.09951 1159.93
147 60 0.8957 0.144197 0.268044 0.483459 1.36864e+06
147 61 0.2241 4.35252e-06 0.0617778 0.162318 1.19438e+08
148 55 9.11792 2.93151 2.71109 3.37675 0.210633
148 56 5.09859 1.03783 1.73598 2.32364 0.882929
148 57 7.67982 1.25561 2.87312 3.55101 1.8178
148 58 2.13679 0.485965 0.617895 1.03293 80.7909
148 59 4.88 1.7766 1.28001 1.82339 198.226
149 56 7.026 1.62084 2.37909 3.0253 0.496287
149 57 6.3879 2.79523 1.51028 2.07583 1.51483
149 58 4.36945 2.41352 0.753596 1.20234 7.64628
149 59 3.335 1.33195 0.779922 1.22313 195.629
149 60 1.69 0.402037 0.460887 0.827076 8974.72
149 61 1.0715 0.011855 0.364079 0.695566 275682
150 56 6.15997 1.58146 1.98219 2.59367 0.432809
150 57 8.12925 3.33922 2.07538 2.70018 1.24072
150 58 3.45021 0.830501 1.05521 1.5645 5.77078
150 59 5.39 0.554154 2.06078 2.77507 8.93028
150 60 3.36768 0 1.68384 1.68384 3.59671e+26
150 61 3.454 1.46956 0.770234 1.21421 13919.1
151 56 8.13734 3.17223 2.16478 2.79142 0.373658
151 57 7.09217 3.29342 1.59979 2.1736 1.12242
151 58 5.5554 1.00857 1.96517 2.58166 2.53914
151 59 4.166 1.36336 1.13704 1.6656 27.2669
151 60 2.442 0.894671 0.577359 0.96997 1076.83
151 61 1.187 0.328215 0.304519 0.554265 147501
151 62 0.0766 1.45795e-05 0.0198025 0.0567829 4.09752e+09
152 56 7.17158 1.68601 2.40985 3.05848 0.328934
152 57 9.09384 4.83129 1.81457 2.4107 0.650655
152 58 4.45 1.32389 1.29173 1.83438 2.01977
152 59 6.35 1.68528 2.07373 2.59099 5.23698
152 60 1.104 0.164236 0.336668 0.603097 986.803
152 61 3.51 0.318319 1.30502 1.88666 356.634
152 63 1.85882 1.17125 0.126686 0.560886 6.16312e+08
153 56 9.23401 2.38043 3.06653 3.77034 0.227946
153 57 6.52163 1.44222 2.08857 2.71892 0.493402
153 58 6.35251 3.06947 1.36408 1.91895 1.4124
153 59 5.76046 1.29912 1.91822 2.54312 6.17473
153 60 3.336 0.442851 1.17614 1.71701 45.5892
153 61 1.881 0.121324 0.661415 1.09826 454.449
153 62 0.8068 0.0616771 0.267221 0.477902 241507
154 57 9.60221 3.209 2.79519 3.48963 0.328934
154 58 5.46233 1.37705 1.74233 2.34292 1.11809
154 59 7.48068 2.99726 1.92952 2.5536 3.3182
154 60 2.81 0.545995 0.837246 1.42676 37.3658
154 61 3.96 1.8769 0.809796 1.2733 149.752
155 57 7.8164 1.67063 2.5239 3.19289 0.265456
155 58 7.51951 1.77864 2.53381 3.20681 0.679509
155 59 6.67932 1.6349 2.19656 2.8469 1.22918
155 60 4.5 1.58314 1.21454 1.70232 12.84
155 61 3.224 0.563984 1.0672 1.59281 59.8718
155 62 1.6267 0.102764 0.568122 0.955813 1930.33
155 63 0.2529 0.060871 0.0631692 0.12886 2.16395e+08
156 58 6.5496 1.47723 2.21354 2.85705 0.532354
156 59 8.55291 3.25103 2.31718 2.98284 1.0575
156 60 3.69 0.699464 1.22622 1.76432 7.9204
156 61 5.15 2.20471 1.1937 1.75158 38.52
156 62 0.722 0.113536 0.203269 0.405195 48820.8
156 63 2.449 1.23388 0.452546 0.762569 1.89342e+06
157 58 8.43176 2.97642 2.39097 3.0573 0.350286
157 59 7.58928 1.88125 2.50071 3.18667 0.862732
157 60 5.573 1.23393 1.85604 2.48303 2.74978
157 61 4.36 0.849413 1.45611 2.05447 15.2349
157 62 2.73 0.585109 0.838683 1.30621 695.379
157 63 1.363 0.290739 0.392996 0.679265 78840.4
158 59 8.77306 2.88906 2.57471 3.26132 0.19361
158 60 4.726 0.931716 1.60249 2.19179 1.92023
158 61 6.08 2.03417 1.71845 2.32737 6.92494
158 62 1.999 0.594252 0.514112 0.890636 458.777
158 63 3.49 1.36795 0.819157 1.30289 3973.18
159 59 7.78509 1.51394 2.73161 3.42942 0.152204
159 60 6.59701 2.54851 1.72145 2.327 1.1152
159 61 5.42999 1.02401 1.88753 2.51845 2.12076
159 62 3.84 0.430561 1.41137 1.99807 16.4034
159 63 2.515 0.306479 0.902194 1.30633 1566.77
159 64 0.9705 0.0562889 0.308711 0.6055 95974.4
160 60 5.67925 1.28304 1.88334 2.51271 0.848737
160 61 7.30015 2.6924 1.98191 2.62564 2.25205
160 62 2.829 0.614179 0.864066 1.35076 13.8499
160 63 4.58 1.52667 1.52667 1.52667 54.8224
161 60 7.43086 2.91913 1.93793 2.5723 0.704612
161 61 6.30609 1.2154 2.2114 2.87771 1.53647
161 62 5.05 2.19855 1.15596 1.69549 6.92494
161 63 3.705 2.48791 0.426657 0.790429 37.5101
161 64 1.9555 0.3869 0.584512 0.984088 316.816
161 65 0.5935 0.0359444 0.200969 0.356587 860825
162 61 8.40995 2.94781 2.38704 3.07237 0.386498
162 62 3.941 1.01856 1.1865 1.73594 3.46247
162 63 5.585 3.79435 0.67884 1.11181 15.2926
162 64 1.39 0.416792 0.340045 0.633163 727.118
162 65 2.51 1.1062 0.530415 0.873388 657.869
163 61 7.8 2.6 2.6 2.6 0.288539
163 62 5.903 2.70957 1.3112 1.88223 2.52183
163 63 4.675 2.93199 0.653483 1.08953 11.1088
163 64 3.12 1.24866 0.71147 1.15987 98.1033
163 65 1.785 0.788461 0.361849 0.634689 1687.95
164 62 5.241 1.42459 1.60339 2.21302 1.76874
164 63 6.44 4.55278 0.716618 1.17061 4.10302
164 64 2.219 0.809172 0.506296 0.903532 64.9213
164 65 3.89 2.2401 0.747476 0.902421 259.685
165 62 7.00193 1.91222 2.20842 2.88114 1.10222
165 63 5.78673 3.18976 1.03636 1.56033 3.3182
165 64 4.052 2.53983 0.548684 0.963482 14.8598
165 65 2.959 0.835706 0.931482 1.19181 182.645
165 66 1.2867 0.0275775 0.448422 0.810701 12122.1
166 63 7.694 2.56467 2.56467 2.56467 0.577078
166 64 3.4 1.13333 1.13333 1.13333 6.92494
166 65 4.83 1.61 1.61 1.61 36.2116
166 66 0.4869 0.0422 0.169526 0.275174 423806
166 67 1.8547 0.0296209 0.69392 1.13116 139191
167 63 6.996 2.332 2.332 2.332 0.288539
167 64 5.1 1.7 1.7 1.7 4.32809
167 65 4.093 1.36433 1.36433 1.36433 27.9883
167 66 2.35 0.532545 0.705523 1.11193 536.683
167 67 0.985215 0.353959 0.218583 0.412674 16100.5
168 64 4.3 1.43333 1.43333 1.43333 0.432809
168 65 6.065 2.02167 2.02167 2.02167 11.8301
168 66 1.5 0.394313 0.44043 0.665257 753.087
168 67 2.93 0.862464 0.792035 1.2755 258.819
169 64 6.1 2.03333 2.03333 2.03333 1.4427
169 65 5.361 1.787 1.787 1.787 2.88539
169 66 3.2 0.315653 1.1585 1.72584 56.2651
169 67 2.12559 0.708528 0.708528 0.708533 408.571
169 68 0.3514 1.72715e-05 0.102693 0.24869 1.1707e+06
170 65 7.173 2.391 2.391 2.391 4.32809
170 66 2.58 0.86 0.86 0.86 43.2809
170 67 3.87 1.72027 0.740502 1.40922 238.91
171 65 6.362 2.12067 2.12067 2.12067 0.721348
171 66 4.4 1.466 1.466 1.468 8.65617
171 67 3.2 1.06667 1.06667 1.06667 76.4628
171 68 1.4907 0.372893 0.419279 0.698528 39035.9
171 69 0.0965 0.000603533 0.0254437 0.0704528 8.74137e+07
172 66 3.7 1.233 1.233 1.234 4.32809
172 67 5.09 1.69667 1.69667 1.69667 36.0674
172 68 0.891 0.499914 0.126766 0.264319 256050
172 69 1.88 0.473628 0.526607 0.879764 330319
173 66 5.5 1.833 1.833 1.834 2.88539
173 67 4.4 1.467 1.467 1.466 14.427
173 68 2.605 0.829375 0.697211 1.07841 121.186
173 69 1.298 0.388036 0.309609 0.600355 42796.1
174 67 6.3 2.1 2.1 2.1 11.5416
174 68 1.92 0.64 0.64 0.64 276.997
174 69 3.08 1.77685 0.506459 0.796687 467.433
175 67 5.6 1.867 1.867 1.866 7.21348
175 68 3.664 1.22133 1.22133 1.22133 103.874
175 69 2.385 0.795 0.795 0.795 1315.74
175 70 0.4703 0.0798157 0.120881 0.269603 521655
176 68 2.8 0.933 0.933 0.934 28.8539
176 69 4.12 1.37333 1.37333 1.37333 164.467
177 68 4.6 1.533 1.533 1.534 4.32809
177 69 3.52 1.17333 1.17333 1.17333 129.843
177 70 1.4008 0.199022 0.426767 0.775011 9925.16
177 71 0.5006 0.0331526 0.148174 0.319273 828541
178 69 5.6 1.867 1.867 1.866 43.2809
178 70 0.644707 0.214902 0.214902 0.214902 6405.57
178 71 2.101 0.118009 0.758094 1.2249 2458.35
179 69 4.8 1.6 1.6 1.6 28.8539
179 70 2.643 0.893204 0.695011 1.05479 692.494
179 71 1.408 0.0307801 0.488916 0.888304 23839.1
180 70 2.281 0.760333 0.760333 0.760333 207.748
180 71 3.1 1.51345 0.624681 0.961867 493.402
181 70 3.9 1.3 1.3 1.3 86.5617
181 71 2.672 0.890667 0.890667 0.890667 302.966
181 72 1.0291 0.530993 0.199107 0.299 5.28386e+06
182 71 4.179 1.393 1.393 1.393 173.123
182 72 0.375 0.238154 0.0650695 0.0717766 4.052e+14
182 73 1.814 1.30641 0.209197 0.29839 1.43022e+07
183 71 3.763 0.698091 1.12313 1.94178 83.6763
183 72 2.01 0.757529 0.425328 0.827143 5541.68
183 73 1.05492 0.291419 0.342909 0.420592 635709
184 71 5.089 1.69633 1.69633 1.69633 28.8539
184 72 1.34 0.240877 0.469847 0.629275 21398.1
184 73 2.87 1.56909 0.557567 0.743347 45185.2
185 72 3.037 1.01233 1.01233 1.01233 302.966
185 73 1.994 0.144168 0.730347 1.11948 4276.15
185 74 0.4326 5.01816e-05 0.126846 0.305704 9.36113e+06
186 72 2.178 0.726 0.726 0.726 225.06
186 73 3.9 1.3038 1.12458 1.47162 908.898
187 72 4 1.333 1.333 1.334 43.2809
187 73 3.139 1.04633 1.04633 1.04633 173.123
187 74 1.3109 0.54413 0.273604 0.493166 124649
187 75 0.002469 0 0.0006177 0.0018513 1.97136e+18
188 72 2.934 0.978 0.978 0.978 28.8539
188 73 4.854 1.618 1.618 1.618 28.2769
188 74 0.349 0.00187703 0.099567 0.247556 8.698e+06
188 75 2.12028 0.0609804 0.777449 1.28185 88313.7
189 73 3.649 1.21633 1.21633 1.21633 4.32809
189 74 2.5 0.833333 0.833333 0.833333 926.21
189 75 1.00384 0.0552386 0.327742 0.620859 126207
190 73 5.6 1.867 1.867 1.866 0.432809
190 74 1.27 0.146879 0.467799 0.655322 2596.85
190 75 3.14 1.33703 0.684705 1.11826 268.341
191 74 3.24 1.08 1.08 1.08 28.8539
191 75 2.045 0.681667 0.681667 0.681666 848.305
191 76 0.141422 0 0.0375 0.103922 1.91959e+06
192 74 2.1 0.7 0.7 0.7 14.427
192 75 4.11 1.37 1.37 1.37 23.0831
193 75 3.18 1.06 1.06 1.06 74.8759
193 76 1.14093 0.0648543 0.379479 0.696596 156382
194 75 5 1.666 1.666 1.668 1.4427
194 76 0.0966 0.00416609 0.0433668 0.0490671 2.73168e+08
194 77 2.2288 0.0910256 0.802843 1.33493 100135
195 76 2 0.666 0.666 0.668 779.055
195 77 1.1071 0.0174439 0.342564 0.747092 12984.3
196 76 1.16 0.387 0.387 0.386 3021
196 77 3.21 0.22088 1.15878 1.83034 75.0201
197 77 2.156 0.718667 0.718667 0.718666 502.058
197 78 0.7187 0.0231861 0.246663 0.44885 103311
198 77 4.087 1.36233 1.36233 1.36233 11.5416
199 77 2.99148 0.997161 0.997161 0.997158 9.37752
199 78 1.7046 0.1582 0.56367 0.98273 2666.1
199 79 0.452 0.0946905 0.140642 0.216667 391273
200 78 0.67 0.223333 0.223333 0.223334 65440.6
200 79 2.24 0.272664 0.731409 1.23593 4189.59
201 78 2.66 0.886667 0.886667 0.886667 216.404
201 79 1.262 0.42 0.42 0.422 2250.6
202 78 1.801 0 0.65467 1.14633 228523
202 79 2.95 0.178179 1.08892 1.6829 40.9725
203 79 2.126 0.00854052 0.78722 1.33024 86.5617
203 80 0.4921 0.240427 0.108174 0.1435 5.80789e+06
204 79 3.94 1.31333 1.31333 1.31333 57.4193
205 79 3.537 1.179 1.179 1.179 44.7235
205 80 1.534 0.0056221 0.540553 0.987825 444.927
206 80 1.308 0.101655 0.424965 0.78138 720.193
206 81 1.5323 0.00011255 0.539575 0.992613 363.732
207 80 4.815 1.605 1.605 1.605 251.029
207 81 1.418 0.00238058 0.491638 0.923981 412.899
208 80 3.653 1.21767 1.21767 1.21767 3592.31
208 81 4.999 3.38063 0.596052 1.02232 264.273
209 80 5.292 1.764 1.764 1.764 52.6584
209 81 3.977 2.14212 0.682586 1.15229 190.436
209 82 0.644 0 0.19735 0.44665 16895.1
210 80 3.88 1.293 1.293 1.294 210.633
210 81 5.48156 2.50097 1.29359 1.687 112.53
210 82 0.0635001 0.00527678 0.0391212 0.019102 1.01072e+09
210 83 1.16211 3.12969e-07 0.38922 0.772883 624740
211 81 4.55 1.516 1.516 1.518 86.5617
211 82 1.367 0.0637234 0.449446 0.85383 3124.88
211 83 6.73325 0.0476616 0.000477204 0.0121322 185.242
212 81 6.1 2.033 2.033 2.034 96.6606
212 82 0.5699 0.143338 0.171098 0.255464 55261
212 83 3.67358 0.104014 0.493917 0.859265 5241.31
213 82 2.04634 0.682112 0.682112 0.682116 882.929
213 83 1.5233 0.126536 0.423969 0.848334 3946.35
214 82 1.019 0.239279 0.28657 0.493151 2319.85
214 83 3.27049 1.47569 0.640015 1.15361 1722.58
215 82 2.9 0.967 0.967 0.966 51.937
215 83 2.189 0.109564 0.761886 1.31755 666.525
216 83 4.0901 1.36337 1.36337 1.36336 194.764
216 84 6.9063 1.53051e-05 0 0.00247569 0.209191
217 83 2.92 0.973333 0.973333 0.973333 142.105
217 84 6.66022 0 0 0 2.20732
218 83 4.819 1.29654 1.40426 2.1182 47.6089
218 84 6.11351 9.11475e-06 1.434e-05 0.00223355 268.168
219 85 6.18126 0 0.01641 0.033104 80.7909
220 85 3.9248 0.37246 1.16784 1.90042 321.144
220 86 6.40467 0.000628383 0 0.00226062 80.2138
221 85 2.341 0.780333 0.780333 0.780333 199.092
221 86 2.28388 0.119542 0.250127 0.694753 2224.64
221 87 6.4576 0.0285743 0 0 424.152
222 85 4.427 1.47567 1.47567 1.47567 77.9055
222 86 5.5903 0.000388921 0 0.00200808 476595
223 85 3.167 1.05567 1.05567 1.05567 72.1348
223 86 2.012 0.309341 0.600271 1.10239 2103.45
223 87 1.14946 0.0486983 0.345553 0.754875 1904.36
223 88 5.9793 0.133561 0 0.0788503 1.42474e+06
224 86 0.783 0.261 0.261 0.261 9262.1
224 87 2.83 0.533395 0.875469 1.42114 288.25
224 88 5.78887 0.0103885 0 0.00401052 456215
225 86 2.74 0.57197 0.827666 1.34036 403.378
225 87 1.82 0.606667 0.606667 0.606667 341.919
225 88 0.357 0.0139838 0.104415 0.238601 1.85727e+06
225 89 5.9351 0.0153704 0 0.0412326 1.24649e+06
226 86 1.401 0.467 0.467 0.467 640.557
226 87 3.671 0.434046 1.21919 2.01776 70.6921
226 88 4.87063 0.00729398 0 0.00433202 7.28448e+10
227 86 3.326 1.10867 1.10867 1.10867 30.0081
227 87 2.477 0.434961 0.76564 1.2764 213.807
227 88 1.3273 0.137906 0.435577 0.753817 3652.9
227 89 0.113764 0.000672789 0.00979906 0.0317914 9.91236e+08
227 90 6.14643 0.161945 0 0 2.32844e+06
228 86 2.102 0.700667 0.700667 0.700667 93.7752
228 87 4.34 0.669614 1.43293 2.23746 54.8224
228 88 0.0458 0.000389531 0.0103217 0.0350888 2.61786e+08
228 89 2.1238 0.87833 0.42478 0.820691 31941.3
228 90 5.52012 0.00351276 0 0.0181292 8.70495e+07
229 87 3.26 0.559859 0.962014 1.73813 72.4233
229 88 1.81 0 0.6268 1.1832 346.247
229 89 1.16 0.0591037 0.372331 0.728566 5427.42
229 90 5.1681 0.103832 0 0.0588129 3.34176e+11
230 87 4.987 0.859368 1.73871 2.38892 27.5555
230 88 0.71 0.236667 0.236667 0.236667 8050.24
230 89 2.9 0.509428 0.885246 1.50533 176.009
230 90 0 0 0 0 3.4319e+12
231 87 3.9 0.447638 1.36868 2.08368 25.3914
231 88 2.479 0.826333 0.826333 0.826333 148.598
231 89 2.1 0.413199 0.625488 1.06131 649.213
231 90 0.3907 0.0234379 0.141865 0.225397 132543
231 91 0 0 0 0 1.4915e+12
232 87 5.604 0.236743 2.27016 3.09709 7.93482
232 88 1.5 0.5 0.5 0.5 363.559
232 89 3.7 1.14883 0.942433 1.60874 171.681
232 90 0 0 0 0 6.39668e+17
233 88 3.269 1.08967 1.08967 1.08967 43.2809
233 89 2.8 0.498584 0.836217 1.4652 209.191
233 90 1.2431 0.036983 0.419169 0.786948 1930.33
233 91 0.5701 0.217564 0.196993 0.155544 3.3624e+06
233 92 4.9085 0.00111022 0 0.0190388 7.24806e+12
234 88 2.128 0.709333 0.709333 0.709333 43.2809
234 89 4.489 1.49633 1.49633 1.49633 63.4786
234 90 0.199 0.00757241 0.0589477 0.13248 3.00404e+06
234 91 2.194 1.48204 0.427426 0.284529 34797.8
234 92 0 0 0 0 1.1177972e+13
235 89 3.467 1.15567 1.15567 1.15567 86.5617
235 90 1.92 0.0523766 0.662814 1.20481 614.588
235 91 1.41 0.47 0.47 0.47 2115.57
235 92 0 0 0 0 3.2045e+16
236 89 4.81 1.60333 1.60333 1.60334 173.123
236 90 1.1 0.0325329 0.340987 0.72648 3228.75
236 91 2.9 0.80316 0.792561 1.30428 787.711
236 92 0 0 0 0 1.0654361e+15
238 90 1.856 0.618667 0.618667 0.618667 813.68
238 91 3.46 1.15333 1.15333 1.15333 196.495
238 92 0 0 0 0 2.0343454e+17
