#Binding energies from Lotz tables 1 and 2 of Lotz W., 1967, JOSA, 57, 873. doi:10.1364/JOSA.57.000873. 1967JOSA...57..873L
28  108
#Z  K  L1  L2  L3  M1  M2  M3  M4  M5  N1  N2  N3  N4  N5  N6  N7  O1  O2  O3  O4  O5  O6  O7  P1  P2  P3  P4  Q1
51  30496.000  4703.000  4385.000  4137.000  949.000  817.000  771.000  542.000  533.000  157.000  114.000  104.000  38.000  37.000  0.000  0.000  15.000  8.640  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
52  31820.000  4945.000  4618.000  4347.000  1012.000  876.000  825.000  589.000  578.000  174.000  127.000  117.000  48.000  46.000  0.000  0.000  17.840  9.010  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
53  33176.000  5195.000  4858.000  4563.000  1078.000  937.000  881.000  638.000  626.000  193.000  141.000  131.000  58.000  56.000  0.000  0.000  20.610  10.450  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
54  34565.000  5452.000  5106.000  4785.000  1149.000  1001.000  939.000  689.000  676.000  213.000  157.000  147.000  69.500  67.500  0.000  0.000  23.400  13.440  12.130  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
55  35987.000  5717.000  5362.000  5014.000  1220.000  1068.000  1000.000  742.000  728.000  233.000  174.000  164.000  81.000  79.000  0.000  0.000  25.000  14.000  12.300  0.000  0.000  0.000  0.000  3.890  0.000  0.000  0.000  0.000
56  37442.000  5991.000  5626.000  5249.000  1293.000  1138.000  1063.000  797.000  782.000  254.000  193.000  181.000  94.000  92.000  0.000  0.000  31.000  18.000  16.000  0.000  0.000  0.000  0.000  5.210  0.000  0.000  0.000  0.000
57  38928.000  6269.000  5894.000  5486.000  1365.000  1207.000  1124.000  851.000  834.000  273.000  210.000  196.000  105.000  103.000  0.000  0.000  36.000  22.000  19.000  5.750  0.000  0.000  0.000  5.580  0.000  0.000  0.000  0.000
58  40446.000  6552.000  6167.000  5726.000  1437.000  1275.000  1184.000  903.000  885.000  291.000  225.000  209.000  114.000  111.000  6.000  0.000  39.000  25.000  22.000  6.000  0.000  0.000  0.000  5.650  0.000  0.000  0.000  0.000
59  41995.000  6839.000  6444.000  5968.000  1509.000  1342.000  1244.000  954.000  934.000  307.000  238.000  220.000  121.000  117.000  6.000  0.000  41.000  27.000  24.000  0.000  0.000  0.000  0.000  5.420  0.000  0.000  0.000  0.000
60  43575.000  7132.000  6727.000  6213.000  1580.000  1408.000  1303.000  1005.000  983.000  321.000  250.000  230.000  126.000  122.000  6.000  0.000  42.000  28.000  25.000  0.000  0.000  0.000  0.000  5.490  0.000  0.000  0.000  0.000
61  45188.000  7432.000  7017.000  6464.000  1653.000  1476.000  1362.000  1057.000  1032.000  335.000  261.000  240.000  131.000  127.000  6.000  0.000  43.000  28.000  25.000  0.000  0.000  0.000  0.000  5.550  0.000  0.000  0.000  0.000
62  46837.000  7740.000  7315.000  6720.000  1728.000  1546.000  1422.000  1110.000  1083.000  349.000  273.000  251.000  137.000  132.000  6.000  0.000  44.000  29.000  25.000  0.000  0.000  0.000  0.000  5.630  0.000  0.000  0.000  0.000
